spot,temp,pH,DO,BOD,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,TOC,Cl,d15N,d18O,source,TN/TP,TOC/TN,Cl/TN,d15N/d18O,NH3N/NO3N,NO3N/Cl
JS-10,16.9,7.6,11.4,1.4,96.0,0.945,0.872,0.676,0.035,0.094,0.079,0.073,2.0,8.802,7.47,1.41,토양-질소 기원,10.053191489361701,2.1164021164021167,9.314285714285715,5.297872340425532,0.051775147928994084,0.07680072710747558
JS-11,17.9,7.7,9.9,2.1,109.0,2.297,2.206,1.713,0.147,0.266,0.236,0.23,2.4,7.77,12.43,3.41,생활하수/처리수 영향,8.635338345864662,1.0448410970831519,3.382673051806704,3.6451612903225805,0.08581436077057793,0.22046332046332048
JS-12,16.9,8.1,9.7,0.9,116.0,1.514,1.511,1.323,0.012,0.016,0.009,0.002,1.2,5.648,6.71,1.62,토양-질소 기원,94.625,0.7926023778071334,3.7305151915455745,4.141975308641975,0.009070294784580499,0.23424220963172804
JS-13,17.6,7.9,9.7,1.2,119.0,2.221,2.208,1.794,0.103,0.177,0.153,0.148,2.0,8.168,10.07,4.31,생활하수/처리수 영향,12.548022598870057,0.9004952723998199,3.677622692480864,2.3364269141531326,0.05741360089186176,0.2196376101860921
JS-14,18.0,7.5,10.1,1.6,128.0,1.649,1.631,1.247,0.05,0.063,0.043,0.028,3.1,8.932,6.86,2.61,토양-질소 기원,26.174603174603174,1.879927228623408,5.416616130988478,2.6283524904214564,0.040096230954290296,0.13961038961038963
JS-15,17.2,6.7,9.0,1.2,126.0,2.016,1.989,1.618,0.058,0.138,0.112,0.108,2.1,8.207,9.47,5.39,생활하수/처리수 영향,14.608695652173912,1.0416666666666667,4.07093253968254,1.7569573283859001,0.03584672435105068,0.19714877543560375
JS-16,17.4,7.0,9.9,1.5,198.0,2.346,2.275,1.791,0.096,0.083,0.051,0.039,3.5,13.677,11.14,1.94,생활하수/처리수 영향,28.265060240963855,1.4919011082693947,5.829923273657289,5.742268041237113,0.05360134003350084,0.13094976968633473
JS-17,17.6,7.0,8.9,1.2,131.0,2.002,2.0,1.596,0.059,0.129,0.104,0.099,2.3,8.671,10.29,4.78,생활하수/처리수 영향,15.519379844961238,1.1488511488511488,4.3311688311688314,2.1527196652719662,0.03696741854636591,0.18406181524622306
JS-18,15.7,7.1,9.0,0.7,180.0,1.328,1.31,1.124,0.022,0.024,0.015,0.008,1.9,6.813,5.64,1.22,토양-질소 기원,55.333333333333336,1.4307228915662649,5.130271084337349,4.622950819672131,0.0195729537366548,0.16497871715837373
JS-19,17.9,7.2,9.4,1.4,136.0,1.739,1.695,1.352,0.042,0.095,0.061,0.056,2.2,9.034,10.58,3.54,생활하수/처리수 영향,18.30526315789474,1.2650948821161587,5.194939620471535,2.9887005649717513,0.03106508875739645,0.14965685189284925
JS-20,17.6,7.4,9.5,1.9,238.0,1.822,1.79,1.333,0.109,0.049,0.034,0.021,2.8,13.341,8.69,2.75,생활하수/처리수 영향,37.183673469387756,1.5367727771679471,7.322173435784851,3.1599999999999997,0.08177044261065267,0.09991754741023912
JS-21,17.9,7.2,9.5,2.4,189.0,2.207,2.137,1.596,0.195,0.1,0.055,0.046,3.1,13.156,9.78,3.68,생활하수/처리수 영향,22.069999999999997,1.4046216583597646,5.9610330765745365,2.657608695652174,0.12218045112781954,0.1213134691395561
JS-22,17.0,7.6,10.3,0.9,232.0,1.834,1.758,1.272,0.142,0.03,0.02,0.008,2.5,23.107,13.1,1.02,생활하수/처리수 영향,61.13333333333334,1.3631406761177753,12.599236641221372,12.84313725490196,0.11163522012578615,0.05504825377591206
JS-23,17.5,7.6,9.7,2.1,209.0,2.811,2.8,2.038,0.267,0.194,0.157,0.155,3.0,13.291,9.05,7.36,생활하수/처리수 영향,14.489690721649485,1.0672358591248665,4.728210601209534,1.2296195652173914,0.13101079489695783,0.1533368444812279
