spot,flow,temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O,source
우치,0.009110978,21.9,8.9,11.3,4.2,8.4,13.2,308,0.928,0.904,0.413,0.023,0.145,0.034,0.007,79.4,6.8,21000,56,38.6,9,11.6,조류증식(현장발생)
광산,8.496,21.4,7.1,9.8,8.4,13.2,13.4,453,8.363,7.558,1.094,6.335,0.162,0.053,0.01,70.1,9.6,220000,68,63.3,8.8,0.9,생활하수/처리수 영향
함평,0.032446842,23.9,7.9,9.8,3.2,8.3,11.1,342,4.042,3.814,1.458,1.82,0.084,0.034,0.008,27,7,32000,27,41.5,10.5,2.6,생활하수/처리수 영향
무안2,0.010594069,16.6,7.5,5.7,2,7.2,3.9,4697,3.94,3.41,2.375,0.366,0.04,0.026,0.015,2.9,4.9,13000,2,993.5,9.5,2.9,생활하수/처리수 영향
고막원천4,0.134135489,19.6,8,7.5,4.8,8.5,32.1,262,1.783,1.513,0.941,0.155,0.174,0.087,0.067,34.8,6.8,16000,420,27.1,9,5.6,생활하수/처리수 영향
요천3,2.639,23.9,7.5,9.3,2.7,7.3,10.5,257,2.297,2.135,1.599,0.051,0.087,0.034,0.018,24.1,5.9,11000,37,29.4,8.8,0,생활하수/처리수 영향
오수천2,4.874,23.3,7,7.5,1.9,8,10.4,203,1.771,0.23067,0.10296,0.001403888,0.132,0.00495,0,0.022286628,6.8,0.151741993,0,17.6,8.6,0.7,생활하수/처리수 영향
죽산,0.000454527,20.5,7.6,9.5,4.9,14,13,379,6.709,5.564,1.356,4.008,0.103,0.04,0.008,44.7,8.2,45000,12,46.8,10.9,2.6,생활하수/처리수 영향
황룡강5,1.459,21.9,8.4,10.8,4.3,7.1,14.5,264,0.912,0.599,0.394,0.064,0.126,0.032,0.014,36.1,6.1,72000,1300,31.3,4.1,5.5,내생부하(정체수역 유기물 축적)
지석천4,2.642,20.7,8.7,11.1,5.8,8.9,11.8,241,1.688,1.374,0.816,0.037,0.187,0.094,0.075,70.3,7.1,26000,12,20.2,14.2,7.8,조류증식(현장발생)
나주,0.001234379,21.7,8.1,10.3,5.9,11.7,13.8,347,4.89,4.342,1.139,3.014,0.171,0.062,0.028,60,8.4,600000,16,43.9,8.5,2.8,생활하수/처리수 영향
삼포천2,0.010825587,21,7.4,8.8,3.9,8.1,32.7,411,3.176,2.753,1.982,0.306,0.173,0.041,0.022,27.5,7.3,0.000999929,0,66.5,10.3,4.3,생활하수/처리수 영향
우치,0.012065125,23.9,6.9,7.6,3.6,8.4,17.7,227,1.908,1.646,1.002,0.213,0.17,0.062,0.042,38.8,6.4,49000,63,23.2,6.2,1.6,내생부하(정체수역 유기물 축적)
광산,20.545,23.9,7.1,7.7,8.6,9.2,16.9,327,4.561,4.046,0.709,3.092,0.232,0.06,0.023,115.7,8.7,100000,89,36.7,7,-0.2,내생부하(정체수역 유기물 축적)
