spot,flow,temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O,source
JS-6,0.066917413,26.4,7.3,7.7,1,4.2,0.051768018,113,0.443,0.432,0.279,0.047,0.05,0.027,0.012,0.047292604,2.9,77.22,0,6.746,8.14,2.48,생활하수/처리수 영향
JS-7,1.21E-06,27.9,7,6.8,0.8,3.6,1.208533144,124,0.458,0.385,0.246,0.036,0.041,0.024,0.011,1.701452695,2.7,3.059863619,0,7.967,8.52,2.49,생활하수/처리수 영향
JS-8,0.025432287,26.6,6.6,6.2,0.9,4.3,3.663,145,1.768,1.675,1.479,0.076,0.211,0.177,0.17,2.871,2.7,5.57354977,0,8.585,11.91,12.7,생활하수/처리수 영향
JS-9,0.005878908,28.3,6.7,6.6,0.7,4.3,3.663,125,0.786,0.675,0.473,0.064,0.093,0.069,0.055,2.871,3,77.22,0,8.174,11.4,7.81,생활하수/처리수 영향
JS-10,0.244612158,28.1,6.9,7,1.2,4.7,0.093592685,173,1.371,1.217,0.852,0.193,0.17,0.123,0.115,0.092742753,3.5,77.22,0,11.536,10.39,2.93,생활하수/처리수 영향
JS-11,5.82E-06,28.1,7,7.2,1,5,1.873257566,147,1.498,1.33,1.089,0.08,0.197,0.146,0.141,2.868163267,3.5,0.569187708,0,9.039,9.13,8.59,생활하수/처리수 영향
JS-12,0.082520409,27.4,7.2,8,1,3.6,0.723249556,118,0.756,0.623,0.506,0.041,0.058,0.024,0.012,0.948941714,2.5,0.024257847,0,5.015,9.24,4.13,생활하수/처리수 영향
JS-13,0.001335657,28.1,7.6,8.9,0.4,3.9,3.663,139,1.17,1.083,0.894,0.021,0.11,0.087,0.084,2.871,2.9,0.741004111,0,7.684,9.93,6.68,생활하수/처리수 영향
JS-14,0.002499686,27,6.6,7.5,0.7,4.9,3.663,194,1.486,1.339,1.075,0.099,0.106,0.069,0.06,2.871,3.4,77.22,0,10.048,9.4,4.03,생활하수/처리수 영향
JS-15,0.157740812,28.9,6.7,6.3,0.5,4.6,0.373346898,146,1.15,1.037,0.846,0.044,0.107,0.082,0.077,0.447342023,3.3,0.044319788,0,8.328,9.16,6.76,생활하수/처리수 영향
JS-16,0.725059108,26.8,6.7,7.1,0.7,5.8,0.107978539,162,1.303,1.193,0.882,0.048,0.091,0.063,0.05,0.109118945,4.1,10.95396864,0,8.718,9.92,5.32,생활하수/처리수 영향
JS-17,0.000230284,28.6,6.8,6.7,0.5,5.1,0.414146415,150,1.301,1.196,0.957,0.05,0.134,0.111,0.107,0.503343484,3.6,0.000130824,0,8.413,9.57,4.54,생활하수/처리수 영향
JS-18,8.51E-06,26.6,6.8,6.6,0.4,4.7,3.663,197,0.872,0.816,0.665,0.016,0.036,0.02,0.009,2.871,3.1,77.22,0,5.328,8.37,2.06,생활하수/처리수 영향
JS-19,0.00030339,28.2,7,8.3,0.7,5.7,0.136849389,152,1.401,1.273,0.994,0.047,0.109,0.08,0.071,0.142867253,4,0.71281749,0,7.424,7.99,4.23,토양-질소 기원
JS-20,0.84447,28.5,7,7.4,0.7,4.8,3.663,231,1.417,1.257,1.024,0.067,0.114,0.082,0.077,2.871,3.5,77.22,0,10.231,10.21,3.52,생활하수/처리수 영향
JS-21,1.60E-05,28.7,7,7.1,0.9,5.6,0.013855009,204,1.943,1.799,1.365,0.167,0.159,0.122,0.115,0.010562104,4.1,4.034011167,0,11.39,8.97,2.99,생활하수/처리수 영향
JS-22,0.299325914,26.6,6.9,7,0.3,3.5,3.663,239,1.139,1.073,0.901,0.016,0.043,0.035,0.022,2.871,2.4,73.34795197,0,21.497,14.28,2.68,생활하수/처리수 영향
JS-23,1.00E-06,28.7,7,7.9,0.8,5.8,0.407879948,187,2.088,1.961,1.591,0.114,0.164,0.138,0.127,0.494690848,4,0.215462312,0,10.356,8.2,3.7,생활하수/처리수 영향
JS-24,0.208142959,27.8,7.1,7.3,0.6,5.6,1.842326651,182,1.537,1.426,1.113,0.047,0.116,0.092,0.078,2.814160031,3.9,77.22,0,8.878,8.46,3.57,생활하수/처리수 영향
JS-25,0.000291339,28.3,7,7.7,1.1,5.7,0.806269143,187,1.853,1.777,1.456,0.061,0.142,0.115,0.111,1.073766925,4,0.045528889,0,9.858,8.22,4.79,생활하수/처리수 영향
JS-26,0.025142597,26.6,7.3,7,0.8,5.4,3.663,185,0.989,0.947,0.648,0.03,0.099,0.079,0.072,1.46383859,3.9,0.378466819,0,9.508,9.67,4.28,생활하수/처리수 영향
JS-27,0.001782997,28.9,6.9,8.1,1,5.6,0.254828765,199,2.087,2.013,1.705,0.04,0.151,0.118,0.114,0.289737926,3.9,2.658743101,0,10.622,8.64,5.61,생활하수/처리수 영향
JS-28,0.01003755,26.5,6.8,7.1,0.9,4.9,2.638259726,240,1.604,1.511,1.282,0.038,0.071,0.052,0.041,2.871,3.1,77.22,0,12.907,10.41,3.55,생활하수/처리수 영향
JS-29,8.34E-05,28.9,6.5,6.9,1,5.9,0.138305213,179,1.791,1.696,1.347,0.073,0.16,0.136,0.132,0.144597004,4.1,7.985401458,0,9.34,8.13,4.69,생활하수/처리수 영향
JS-30,0.070472459,25.4,7.5,4.2,0.7,3,0.318006018,187,0.273,0.233,0.104,0.023,0.063,0.043,0.034,0.372732294,2.2,1.973626086,0,8.748,10.73,5.16,생활하수/처리수 영향
JS-31,1.64E-05,28.9,7.2,6.5,2.1,5.6,0.684377743,189,1.675,1.559,1.227,0.059,0.143,0.111,0.108,0.891155547,4.1,0.025087463,0,9.155,8.43,4.52,생활하수/처리수 영향
JS-32,0.000150325,28.4,7.9,4.4,1.4,7.3,2.455158045,278,1.227,1.087,0.518,0.178,0.358,0.309,0.306,2.871,5,23.61485846,0,15.552,13.02,4.28,생활하수/처리수 영향
JS-33,0.001153224,29.9,8.1,9.1,1.7,6.4,1.262955004,291,1.746,1.598,1.162,0.058,0.124,0.091,0.077,1.317402273,4.7,0.222773962,0,31.542,10.99,4.58,생활하수/처리수 영향
JS-34,0.055998992,29.5,8.1,7,1,6.2,0.608720105,188,1.654,1.524,1.206,0.054,0.143,0.119,0.115,0.779992791,4.1,2.490278251,0,9.234,8.61,4.58,생활하수/처리수 영향
JS-35,0.004853847,28.6,8.8,6.9,0.9,6.3,0.109415593,211,1.622,1.522,1.179,0.05,0.157,0.122,0.116,0.110772045,4.4,77.22,0,11.712,9.18,4.43,생활하수/처리수 영향
JS-36,0.000844614,28.8,8.4,7.3,1,6,1.179847731,212,2.19,2.065,1.77,0.025,0.185,0.155,0.151,2.137875349,4.1,0.03749777,0,11.619,11.63,3.26,생활하수/처리수 영향
JS-20B,8.82E-06,27.1,6.9,6.7,12,17.7,0.258194168,409,7.23,6.342,3.27,2.429,0.61,0.285,0.257,0.294093591,10.6,77.22,0,39.957,18.02,0.77,생활하수/처리수 영향
JS-9B,0.006200464,27.9,6.9,7.1,2.3,8.3,0.666989796,370,2.399,2.08,1.587,0.098,0.167,0.08,0.055,0.865450958,5.2,12.63268308,0,51.753,10.89,0.19,생활하수/처리수 영향
JS-1,8.64E-05,20.6,7.6,10.1,0.6,3.2,1.696330523,106,1.294,1.287,1.157,0.023,0.032,0.031,0.006,2.871,2,0.138256088,0,7.836,3.79,2.09,토양-질소 기원
JS-2,0.001076964,21.5,7.2,9.4,0.8,4.9,0.128145444,70,1.607,1.522,1.373,0.039,0.086,0.072,0.008,0.13257908,3.5,7.665392371,0,4.038,4.98,1.2,토양-질소 기원
JS-3,0.019818541,21.4,6.8,9.6,0.8,4.6,2.962529811,84,1.507,1.43,1.316,0.03,0.071,0.07,0.007,2.871,3.1,6.572846977,0,5.626,4.98,1.47,토양-질소 기원
JS-4,1.34E-05,20.3,7,10,0.6,3.5,1.106595188,60,1.129,1.093,0.96,0.033,0.045,0.044,0.004,2.871,2.4,5.64E-05,0,3.948,2.75,2.54,토양-질소 기원
JS-5,0.099727346,21.1,7,9.6,0.7,4,0.214039233,82,1.453,1.383,1.255,0.035,0.06,0.059,0.008,0.237602187,2.8,0.157394031,0,5.373,4.99,1.62,토양-질소 기원
JS-6,0.0075131,20.4,7,9.9,0.7,2.9,0.009954027,82,1.356,1.314,1.206,0.032,0.046,0.045,0.015,0.007251495,2,45.99587558,0,5.052,5.13,1.68,토양-질소 기원
JS-7,5.25E-05,20.9,7,9.4,0.7,3.6,0.225231612,85,1.473,1.437,1.307,0.04,0.042,0.041,0.01,0.251782345,2.4,77.22,0,5.473,6.46,2,토양-질소 기원
JS-8,0.00348769,21.5,6.7,8.6,0.8,2.6,3.311128176,93,2.059,2.004,1.918,0.04,0.108,0.103,0.078,2.871,1.8,77.22,0,5.469,9.15,2.52,생활하수/처리수 영향
JS-9,0.002969896,21.7,6.6,8.7,0.9,3.4,2.94855057,94,1.652,1.607,1.482,0.039,0.067,0.066,0.03,2.871,2.2,77.22,0,5.502,7.09,2.09,토양-질소 기원
JS-10,1.00E-06,21.8,7,8.6,0.7,3.6,3.663,76,1.017,0.965,0.853,0.05,0.044,0.042,0.015,2.871,2.2,33.0053491,0,5.091,5.73,1.39,토양-질소 기원
JS-11,6.01E-05,22.2,6.9,8.4,0.9,3.7,1.283356559,100,1.81,1.72,1.581,0.061,0.103,0.101,0.058,1.906750634,2.5,0.001348091,0,5.755,8.28,2.52,생활하수/처리수 영향
JS-12,0.027248988,22.9,6.8,8.4,1,3.5,2.191096683,118,2.564,2.519,2.389,0.036,0.025,0.024,0.003,2.52546574,2.2,65.49390229,0,4.85,8.29,1.39,생활하수/처리수 영향
JS-13,0.09836734,22.2,6.8,8.6,0.9,3.7,0.034664179,105,1.933,1.889,1.736,0.044,0.071,0.069,0.035,0.029970959,2.2,77.22,0,5.452,7.46,2.1,토양-질소 기원
JS-14,0.14862268,22.2,6.7,8.5,0.9,4.7,2.210093222,115,2.136,2.109,1.955,0.046,0.072,0.068,0.031,2.871,2.9,30.65673966,0,5.882,4.81,2.5,토양-질소 기원
JS-15,0.009209405,21.9,7.3,8.6,0.9,4,1.093361611,106,2.06,2.002,1.844,0.045,0.081,0.075,0.042,1.574688748,2.6,3.478633034,0,5.589,7.03,2.77,토양-질소 기원
JS-16,0.019163431,22.4,6.6,8,1,5.8,2.826696061,143,2.983,2.938,2.673,0.078,0.095,0.092,0.048,1.670744816,4.1,17.87850561,0,6.892,6.74,2.6,토양-질소 기원
JS-17,1.00E-06,22,6.7,8.5,1,3.9,0.760657668,109,2.17,2.118,1.944,0.05,0.088,0.083,0.049,1.004956459,2.7,77.22,0,5.691,7.25,3.13,토양-질소 기원
JS-18,0.039706934,23.5,6.6,8.1,0.8,6.4,1.346624158,105,1.706,1.612,1.418,0.046,0.094,0.079,0.014,1.968684325,4.5,25.13275323,0,3.515,2.63,0.05,토양-질소 기원
JS-19,0.007276132,22.6,6.6,8.5,0.6,4.4,1.513510426,109,2.091,2.042,1.862,0.051,0.086,0.083,0.039,2.248887036,3.1,77.22,0,5.294,6.38,1.05,토양-질소 기원
JS-20,0.020042245,21.5,6.7,8.8,0.5,4,3.663,161,2.584,2.532,2.374,0.048,0.084,0.083,0.043,2.871,2.7,0.029495701,0,7.226,6.1,-0.49,토양-질소 기원
JS-21,0.001527275,22.7,7,8.3,0.8,4.6,0.116605354,136,2.458,2.368,2.144,0.085,0.097,0.091,0.045,0.119086859,3.1,0.053236427,0,6.566,6.17,-0.3,토양-질소 기원
JS-22,0.009929942,22.4,7.2,8.5,0.4,3.7,0.14707609,179,3.553,3.542,3.414,0.02,0.052,0.049,0.043,0.155070343,2.7,0.800148956,0,10.073,7.52,-0.82,토양-질소 기원
JS-23,0.405567247,22.6,7.4,8.3,0.8,4.5,0.426840454,139,2.414,2.343,2.13,0.079,0.099,0.094,0.049,0.520926105,3.3,77.22,0,6.486,6.29,-0.36,토양-질소 기원
JS-24,0.023747163,22,7.4,8.2,0.8,5.9,3.033810482,162,3.673,3.644,3.391,0.085,0.105,0.099,0.064,2.871,4.1,0.03538338,0,7.001,4.39,0.76,토양-질소 기원
JS-25,0.050679309,22.4,7.4,8.2,0.8,4.9,0.125254506,138,2.392,2.382,2.145,0.083,0.117,0.109,0.059,0.129182816,3.2,46.49813624,0,6.369,6.15,0.93,토양-질소 기원
JS-26,1.04E-05,22.6,7.3,7.1,0.6,6.3,1.904804576,169,2.578,2.537,2.18,0.083,0.143,0.138,0.099,2.871,4.5,0.230270118,0,7.761,7.27,0.54,토양-질소 기원
JS-27,1.94E-05,22.8,7.4,7.9,0.5,4.7,0.261575609,145,2.629,2.581,2.317,0.081,0.102,0.097,0.051,0.298477869,3.3,22.8922527,0,6.797,6.5,0.08,토양-질소 기원
JS-28,0.000328744,21.8,7.1,7.9,0.5,4.7,1.471287341,273,5.617,5.551,5.515,0.034,0.099,0.093,0.062,2.177541785,3.7,0.012597371,0,11.889,6.02,0.03,토양-질소 기원
JS-29,0.124811343,22.5,7,7.8,0.8,4.7,0.08345601,140,2.653,2.647,2.357,0.109,0.108,0.1,0.062,0.081406893,3.6,77.22,0,6.826,5.81,0,토양-질소 기원
JS-30,1.26E-05,21.8,7.1,8,0.2,3.9,2.544553686,204,6.938,6.886,6.844,0.02,0.074,0.07,0.046,2.871,2.8,0.292748741,0,9.925,8.5,-0.96,생활하수/처리수 영향
JS-31,0.027565374,22.9,6.8,8.1,0.6,4.7,0.287465773,139,2.718,2.687,2.438,0.091,0.117,0.112,0.058,0.332298281,3.3,40.40797844,0,6.768,6.14,-0.39,토양-질소 기원
JS-32,8.94E-05,21.6,6.8,6.8,0.5,4.9,1.615112996,206,4.67,4.656,4.481,0.063,0.153,0.143,0.102,2.421766292,3.8,77.22,0,11.313,9.78,0.77,생활하수/처리수 영향
JS-33,0.013020784,23.5,7,8.3,1.4,6.5,3.607234079,219,3.116,3.042,2.495,0.205,0.202,0.166,0.106,2.871,4.5,72.51698205,0,15.878,7.44,0.61,토양-질소 기원
JS-34,4.29E-06,22.9,7.2,8.3,0.5,4.7,3.663,139,2.779,2.718,2.444,0.086,0.111,0.101,0.066,2.871,3.3,0.160276739,0,6.824,6.43,0.53,토양-질소 기원
JS-35,0.114617591,23.3,7.2,6.3,0.8,7.4,0.2268445,166,2.202,2.11,1.672,0.072,0.205,0.172,0.106,0.253833892,5.2,3.867449633,0,8.798,7.04,0.66,토양-질소 기원
JS-36,0.000114938,23.2,7.3,8.4,0.6,5.2,0.79301334,143,2.882,2.769,2.518,0.09,0.143,0.134,0.082,1.053712432,3.5,77.22,0,7.106,6.43,0.03,토양-질소 기원
JS-20B,0.017142575,23.8,6.7,7.8,10.9,12.7,3.048349894,327,11.413,10.447,7.236,3.056,0.6,0.364,0.273,2.871,8.9,77.22,0,31.735,23.7,6.6,생활하수/처리수 영향
JS-9B,0.186510017,25.8,6.5,6.4,1,5,3.663,151,1.37,1.197,0.835,0.023,0.099,0.078,0.015,2.871,3.4,0.018913822,0,27.654,10.95,-2.96,생활하수/처리수 영향
JS-1,0.029209057,18.9,7.5,9.5,0.8,3.9,0.097914832,122,1.527,0.949,0.839,0.018,0.029,0.016,0.005,0.097628856,2.6,77.22,0,9.022,4.37,1.06,토양-질소 기원
JS-2,6.12E-05,19.4,7.1,8.8,1.2,4.7,1.341230147,87,1.09,0.962,0.787,0.038,0.057,0.03,0.016,1.959709572,3.5,0.88507338,0,5.378,6.4,2.48,토양-질소 기원
JS-3,0.001706127,19.4,6.8,8.9,1,4.3,0.444108304,104,1.032,0.952,0.78,0.038,0.052,0.028,0.013,0.544959094,3.2,0.057391795,0,7.006,5.54,1.69,토양-질소 기원
JS-4,0.016953432,18.7,6.9,9.3,1.5,6.4,0.151486829,88,0.908,0.818,0.65,0.021,0.065,0.035,0.018,0.160370051,4.4,0.025934173,0,6.267,5.17,1.58,토양-질소 기원
JS-5,0.000365296,19.2,6.8,9,1.3,4.7,0.110852818,100,1.073,0.972,0.792,0.044,0.063,0.036,0.023,0.112428327,3.5,1.144850055,0,6.827,5.75,3.51,토양-질소 기원
JS-6,9.13E-06,19.1,7,9.3,1.3,5.6,0.491395407,102,1.2,1.139,0.939,0.031,0.072,0.044,0.032,0.611418536,3.7,0.896199647,0,6.579,5.46,-0.3,토양-질소 기원
JS-7,0.000478037,19.1,6.9,8.5,1,4.2,0.446294906,103,1.081,0.998,0.836,0.042,0.068,0.04,0.031,0.548011621,3,44.04514657,0,6.98,5.83,3.65,토양-질소 기원
JS-8,0.000370097,20.1,7.1,8.1,1.1,4.7,2.510541158,106,1.941,1.854,1.548,0.068,0.15,0.119,0.115,2.854550037,3.3,9.595375229,0,6.08,8.41,1.85,생활하수/처리수 영향
JS-9,0.026022676,20,6.8,9,0.9,3.9,0.534344182,117,1.556,1.477,1.226,0.086,0.131,0.097,0.097,1.581880686,2.4,1.416799841,0,7.059,10.27,3.79,생활하수/처리수 영향
JS-10,0.004410315,19.3,6.6,9.1,1.1,4.4,3.663,111,1.381,1.304,1.067,0.074,0.094,0.061,0.061,0.67254958,3,10.51671967,0,6.981,4.99,-1.19,토양-질소 기원
JS-11,0.000582895,20.5,6.8,8.8,1,3.4,0.397552776,119,1.898,1.798,1.525,0.079,0.166,0.121,0.117,2.871,2.7,75.90558667,0,7.036,9.95,3.94,생활하수/처리수 영향
JS-12,3.90E-06,21.3,6.8,8.6,0.3,2.1,3.246517468,190,1.633,1.554,1.404,0.027,0.017,0.007,0.001,0.480471152,1.5,0.667804521,0,5.525,9.7,3.94,생활하수/처리수 영향
JS-13,0.013752029,20.6,7,9.1,0.8,4,0.529455923,140,2.15,2.096,1.733,0.124,0.205,0.16,0.157,2.108635418,2.7,21.29457638,0,7.559,8.44,7.09,생활하수/처리수 영향
JS-14,0.002194766,19.8,6.9,8.8,1.3,5.2,1.47723999,162,2.042,1.963,1.551,0.092,0.128,0.062,0.054,0.66555676,4.1,1.38406498,0,9.993,8.01,2.19,생활하수/처리수 영향
JS-15,0.000217568,20,7.8,9.5,0.7,3.7,0.080539534,156,1.82,1.78,1.507,0.054,0.113,0.08,0.077,2.187581971,2.4,24.10983927,0,8.031,10.1,5.42,생활하수/처리수 영향
JS-16,3.61E-05,20,6.8,9.1,1.7,6,1.223136334,201,2.342,2.228,1.707,0.119,0.12,0.077,0.065,0.078179315,4.9,0.011507628,0,11.019,10.86,2.88,생활하수/처리수 영향
JS-17,0.694398403,20.1,6.8,9.3,1,4,1.703305389,160,2.109,2.04,1.696,0.08,0.161,0.124,0.122,1.805229326,2.8,15.9740707,0,8.197,9.3,5.83,생활하수/처리수 영향
JS-18,0.003270816,20.2,6.8,9.1,0.5,3.6,2.108082508,196,1.601,1.547,1.369,0.022,0.04,0.027,0.021,2.573150891,2.6,34.43312283,0,6.201,7.83,-0.55,토양-질소 기원
JS-19,0.001579006,20.5,7,10,0.9,3.9,3.644558145,162,1.852,1.782,1.52,0.025,0.113,0.081,0.077,2.455793192,2.6,77.22,0,8.091,10.51,4.85,생활하수/처리수 영향
JS-20,0.004751602,20.2,7,9.7,1.8,4.4,0.871814619,286,1.761,1.65,1.292,0.096,0.151,0.101,0.099,2.871,3.6,77.22,0,9.855,10.05,5.1,생활하수/처리수 영향
JS-21,0.015690261,20.8,0.1,9.5,1.6,4.3,0.365454518,228,1.979,1.882,1.518,0.106,0.129,0.081,0.079,1.17358369,3.3,4.921253639,0,10.378,10.08,3.78,생활하수/처리수 영향
JS-22,0.04883415,20.7,7.1,8.9,0.7,3.8,0.185995113,216,1.633,1.613,1.231,0.12,0.06,0.039,0.034,0.436602896,2.8,0.539080152,0,18.515,10.44,2.35,생활하수/처리수 영향
JS-23,0.000243601,21,7.3,8.5,1.9,4.2,2.135314043,281,2.631,2.475,1.778,0.378,0.173,0.112,0.11,0.202528181,3.5,0.096727113,0,12.883,9.59,5.07,생활하수/처리수 영향
JS-24,4.38E-05,20.1,7.2,8.4,2.2,6.4,1.012981051,255,3.649,3.494,2.281,0.714,0.322,0.242,0.235,2.871,4.7,77.22,0,14.913,7.98,2.72,토양-질소 기원
JS-25,0.037848589,20.5,7.4,8.3,2.2,4.2,0.770248839,279,2.883,2.806,2.031,0.396,0.194,0.138,0.133,2.871,3.4,7.208707021,0,13.248,8.73,5.89,생활하수/처리수 영향
JS-26,0.00104058,20.4,7.2,7.8,1.3,5.3,0.204577484,153,1.36,1.257,0.953,0.044,0.115,0.073,0.066,1.391999023,4,3.5912872,0,8.062,10.42,1.32,생활하수/처리수 영향
JS-27,0.008634882,22.2,7.1,9.4,1.6,6.2,1.357480424,294,8.466,8.335,5.997,0.702,0.767,0.718,0.709,1.019380016,5.3,10.30466227,0,15.701,12.12,4.95,생활하수/처리수 영향
JS-28,0.000136978,19.5,7,7.8,0.8,3.8,0.119485046,301,2.68,2.671,2.409,0.036,0.105,0.077,0.074,0.225693609,3.2,27.31809395,0,15.817,9.37,2.36,생활하수/처리수 영향
JS-29,0.077231563,21.1,6.3,8.8,1,3.9,1.147233434,228,2.412,2.323,2,0.037,0.115,0.083,0.079,1.986763366,2.9,77.22,0,13.091,10.06,5.44,생활하수/처리수 영향
JS-30,0.002342499,19.8,6.9,6.9,0.9,4.6,1.1657597,158,1.925,1.857,1.574,0.025,0.113,0.091,0.088,0.122437209,3.3,0.600642737,0,8.543,9.86,3.42,생활하수/처리수 영향
JS-31,0.001381358,20.7,6.8,8.3,2.2,4,1.978132143,214,2.258,2.142,1.856,0.027,0.11,0.069,0.068,1.603650016,2.9,0.116181441,0,11.969,10.16,5.15,생활하수/처리수 영향
JS-32,0.000642449,19.2,6.6,6.8,2.6,6.1,2.761936085,143,2.572,2.369,1.621,0.344,0.405,0.284,0.282,1.633134464,4.9,24.36139906,0,6.787,8.08,3.15,생활하수/처리수 영향
JS-33,0.370019168,19.9,6.7,8.1,3.4,6.3,0.381326363,171,2.552,2.249,1.464,0.401,0.283,0.121,0.112,2.33356255,5.3,2.409721784,0,16.132,6.94,5.23,토양-질소 기원
JS-34,0.105392801,20.8,6.9,8.8,1.6,3.8,0.199890349,203,2.094,2.013,1.717,0.029,0.108,0.063,0.062,2.871,2.9,0.346250468,0,11.502,10.95,6.71,생활하수/처리수 영향
JS-35,0.000145767,20.2,7.2,7.9,2.5,6.6,1.501313543,197,2.21,1.982,1.591,0.065,0.243,0.145,0.14,0.458231377,5.3,25.6612252,0,12.864,8.78,2.95,생활하수/처리수 영향
JS-36,0.006401868,20.8,7.1,8.8,2.4,5.2,0.658422426,207,2.566,2.367,1.953,0.088,0.16,0.08,0.075,0.219822107,4.1,5.237747338,0,14.895,10.64,4.31,생활하수/처리수 영향
JS-20B,0.004505263,22.5,6.9,8.7,7,9.3,0.319844354,307,7.18,6.675,4.208,1.783,0.338,0.151,0.142,2.228247071,5.8,3.159962602,0,33.402,12.15,-0.53,생활하수/처리수 영향
JS-1,0.00263834,12.9,7.7,10.9,0.5,1.9,0.556715093,134,0.831,0.827,0.61,0.024,0.016,0.01,0.004,0.852819466,1.3,1.519075753,0,9.472,5.3,3.01,토양-질소 기원
JS-2,0.00431735,13.7,7.3,10.4,0.6,2.7,2.328527187,87,0.921,0.916,0.637,0.024,0.023,0.01,0.004,0.375183765,2,77.22,0,4.437,4.89,1.86,토양-질소 기원
JS-3,0.218341487,13.7,7,10.3,0.5,2.3,0.401666256,106,0.926,0.925,0.653,0.026,0.021,0.009,0.004,0.70466302,1.7,77.22,0,6.282,5.7,2.3,토양-질소 기원
JS-4,0.003922403,13,7,10.7,0.4,2.4,1.362942953,76,0.606,0.583,0.439,0.018,0.021,0.008,0.003,2.871,1.6,0.367478583,0,4.541,4.66,2.84,토양-질소 기원
JS-5,0.00044315,14.2,7.2,10.2,0.5,2.2,1.753060826,104,0.896,0.872,0.628,0.021,0.025,0.011,0.005,0.486129084,1.5,13.70587015,0,6.229,6.17,2.82,토양-질소 기원
JS-6,0.001822638,12.9,7.3,10.8,0.5,3.2,2.248709104,103,0.972,0.942,0.675,0.026,0.022,0.01,0.004,1.99586821,1.5,9.792933554,0,6.306,7.22,2.53,토양-질소 기원
JS-7,0.008822164,14.4,7,9.8,0.5,1.8,1.046120874,106,0.943,0.917,0.651,0.024,0.027,0.013,0.007,2.659080269,1.2,5.869001759,0,5.777,6.56,2.45,토양-질소 기원
JS-8,0.008728006,14.9,7.3,9.2,0.6,1.9,0.307075381,114,2.408,2.399,1.704,0.042,0.231,0.189,0.185,2.871,1.2,9.401764246,0,6.472,10.25,7.06,생활하수/처리수 영향
JS-9,0.002666943,15.8,7,10.1,0.5,2,3.663,112,1.506,1.487,1.033,0.035,0.082,0.061,0.056,1.443905473,1.3,77.22,0,6.748,9.7,5.74,생활하수/처리수 영향
JS-10,0.000384821,14.8,6.8,10.4,0.6,1.9,0.893441795,111,0.94,0.912,0.577,0.115,0.055,0.038,0.034,0.35819648,1.4,8.57717981,0,8.14,8.28,1.69,생활하수/처리수 영향
JS-11,0.006680755,15.7,7.1,10.1,0.6,2.2,2.813581459,122,1.93,1.894,1.261,0.101,0.161,0.123,0.121,2.871,1.6,1.064779684,0,7.285,10,3.95,생활하수/처리수 영향
JS-12,0.63791104,17.1,7.2,10.1,0.3,1.8,0.992767478,139,1.681,1.663,1.174,0.019,0.012,0.005,0.002,1.206749592,1.4,4.119783225,0,4.856,7.91,2.34,토양-질소 기원
JS-13,0.000193848,16,7.3,10.8,0.5,2.5,0.732460777,132,2.024,1.979,1.371,0.045,0.133,0.101,0.1,0.96269844,1.5,18.62763258,0,7.017,10.02,3.95,생활하수/처리수 영향
JS-14,0.000733041,15.3,7.4,11.2,0.5,2.8,0.627709349,152,1.492,1.479,0.993,0.034,0.03,0.018,0.013,0.69383971,1.9,18.4373665,0,8.296,8.62,3.8,생활하수/처리수 영향
JS-15,0.003839594,14.8,6.9,9.8,0.5,2.3,0.878972429,134,1.87,1.831,1.269,0.031,0.091,0.065,0.064,2.871,1.7,5.929865899,0,7.266,9.9,4.57,생활하수/처리수 영향
JS-16,0.011427785,14.9,6.8,11.3,0.8,3.9,0.549189374,213,2.495,2.422,1.659,0.04,0.053,0.032,0.026,2.871,3,0.930285407,0,12.356,10.37,3.36,생활하수/처리수 영향
JS-17,6.36E-05,15,6.9,9.7,0.5,2.2,1.888952953,137,1.876,1.784,1.269,0.022,0.087,0.064,0.063,0.367854209,1.6,14.27661602,0,7.315,9.3,4.78,생활하수/처리수 영향
JS-18,0.003413885,16,6.9,9.7,0.5,3.6,3.588780202,176,1.226,1.161,0.798,0.016,0.016,0.007,0.001,1.855275501,2.7,77.22,0,4.335,4.11,0.88,토양-질소 기원
JS-19,0.006752382,14.9,7,10.5,0.5,2.5,3.663,145,1.739,1.703,1.192,0.017,0.063,0.041,0.04,1.59636113,1.9,0.482709423,0,7.204,9.08,4.32,생활하수/처리수 영향
JS-20,0.020497871,15.6,7.3,10.6,0.7,2.6,0.314343634,314,1.98,1.905,1.327,0.033,0.103,0.069,0.067,1.269737274,2.2,1.723429502,0,11.914,10.59,4.21,생활하수/처리수 영향
JS-21,0.001005313,15.7,7.2,11,0.4,3.1,1.304096547,219,2.498,2.406,1.677,0.065,0.085,0.059,0.057,1.567528751,2.3,8.403844372,0,12.356,9.73,4.36,생활하수/처리수 영향
JS-22,0.036955997,16.1,8,11.6,0.6,2.9,1.142647221,235,1.709,1.643,1.096,0.017,0.04,0.025,0.02,2.871,2.7,0.166157415,0,24.929,12.48,2.47,생활하수/처리수 영향
JS-23,0.001802716,15.8,7.8,11.1,0.7,2.6,0.934320023,207,2.454,2.354,1.655,0.027,0.097,0.068,0.066,1.504495892,2.3,7.510117927,0,11.514,9.1,4.71,생활하수/처리수 영향
